DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
18-Jun-2022,14,39,11,59,42,36,21,4,Merlin,2764
15-Jun-2022,53,3,41,37,38,26,36,4,Merlin,2763
11-Jun-2022,32,21,59,52,34,20,1,3,Arthur,2762
08-Jun-2022,25,53,58,11,23,38,52,3,Arthur,2761
04-Jun-2022,46,59,41,52,19,9,24,2,Arthur,2760
01-Jun-2022,32,4,30,38,1,6,18,2,Arthur,2759
28-May-2022,24,57,16,34,44,5,20,1,Guinevere,2758
25-May-2022,45,31,49,30,37,56,51,1,Guinevere,2757
21-May-2022,51,48,57,12,37,25,8,4,Lancelot,2756
18-May-2022,18,20,38,40,51,42,45,4,Lancelot,2755
14-May-2022,15,21,12,50,39,24,35,3,Lancelot,2754
11-May-2022,39,51,21,44,37,34,26,3,Lancelot,2753
07-May-2022,5,3,15,6,41,45,39,2,Guinevere,2752
04-May-2022,57,10,55,50,29,6,5,2,Guinevere,2751
30-Apr-2022,15,19,41,26,51,57,52,1,Guinevere,2750
27-Apr-2022,57,38,22,10,56,35,46,1,Guinevere,2749
23-Apr-2022,7,10,56,31,48,24,15,11,Lancelot,2748
20-Apr-2022,5,53,24,47,8,50,31,11,Lancelot,2747
16-Apr-2022,6,4,55,58,2,35,44,10,Lancelot,2746
13-Apr-2022,53,40,1,10,7,30,2,10,Lancelot,2745
09-Apr-2022,18,59,44,11,10,29,17,9,Guinevere,2744
06-Apr-2022,23,3,49,30,17,24,59,9,Guinevere,2743
02-Apr-2022,22,57,27,52,30,24,20,11,Guinevere,2742
30-Mar-2022,17,44,58,12,11,14,29,11,Guinevere,2741
26-Mar-2022,13,27,53,35,46,18,40,10,Lancelot,2740
23-Mar-2022,52,15,53,46,3,14,50,10,Lancelot,2739
19-Mar-2022,51,20,50,34,33,24,7,9,Lancelot,2738
16-Mar-2022,28,33,14,23,20,54,12,9,Lancelot,2737
12-Mar-2022,39,23,44,13,7,21,16,11,Guinevere,2736
09-Mar-2022,10,3,38,26,47,41,45,11,Guinevere,2735
05-Mar-2022,51,33,10,29,42,21,48,10,Guinevere,2734
02-Mar-2022,58,55,43,48,49,52,32,10,Guinevere,2733
26-Feb-2022,52,8,5,33,47,37,20,9,Lancelot,2732
23-Feb-2022,22,26,37,33,27,4,20,9,Lancelot,2731
19-Feb-2022,56,44,33,50,34,57,26,7,Lancelot,2730
16-Feb-2022,31,27,21,53,59,50,24,7,Lancelot,2729
12-Feb-2022,28,16,58,26,9,47,49,6,Guinevere,2728
09-Feb-2022,17,57,43,12,53,16,29,6,Guinevere,2727
05-Feb-2022,36,24,8,39,46,56,48,5,Guinevere,2726
02-Feb-2022,48,59,29,50,22,6,3,5,Guinevere,2725
29-Jan-2022,50,12,41,4,47,35,46,8,Merlin,2724
26-Jan-2022,53,26,57,36,5,58,2,8,Merlin,2723
22-Jan-2022,25,59,46,20,35,1,28,7,Merlin,2722
19-Jan-2022,50,57,41,13,56,3,58,7,Merlin,2721
15-Jan-2022,25,39,13,31,14,37,4,6,Arthur,2720
12-Jan-2022,59,56,21,39,8,37,32,6,Arthur,2719
08-Jan-2022,36,46,33,21,43,28,27,5,Arthur,2718
05-Jan-2022,21,57,28,3,56,5,14,5,Arthur,2717
01-Jan-2022,41,43,29,56,14,31,42,8,Merlin,2716
29-Dec-2021,57,28,52,3,42,17,58,8,Merlin,2715
25-Dec-2021,42,26,15,30,59,24,18,7,Merlin,2714
22-Dec-2021,20,52,13,45,14,6,54,7,Merlin,2713
